label,op,rounds,median_ms,min_ms,max_ms,stddev_ms,result
local,_harness_noop,5,1.697,1.562,1.882,0.119,
local,stat_root,5,5.265,4.727,5.432,0.340,ok
local,readdir_root,5,3.269,3.205,3.357,0.061,28
local,tree_walk,5,23.249,23.017,23.550,0.198,1332
local,tree_walk_dirs,5,22.827,22.649,23.175,0.196,636
local,ls_recursive,5,49.130,47.878,49.647,0.823,ok
local,du,5,13.172,12.751,13.622,0.364,57M
local,grep_text,5,41.160,40.738,45.116,1.801,176
local,glob_md,5,22.299,21.978,22.800,0.313,359
local,random_stat,5,3.481,3.404,3.583,0.077,100
local,random_read,5,5.084,4.983,5.560,0.231,100f/3972590b
local,head_of_tree,5,7.013,6.903,7.609,0.293,3
local,write_new_small,5,9.987,8.154,10.371,0.876,50
local,write_overwrite,5,5.677,5.573,6.089,0.215,50
local,append_jsonl,5,6.578,6.402,6.856,0.175,100
local,_cleanup,5,2.771,2.695,5.470,1.217,ok
