label,op,rounds,median_ms,min_ms,max_ms,stddev_ms,result
afs-cold,_harness_noop,5,1.727,1.634,2.419,0.385,
afs-cold,stat_root,5,5.744,5.121,6.420,0.553,ok
afs-cold,readdir_root,5,3.387,3.378,3.895,0.235,28
afs-cold,tree_walk,5,28.757,28.096,29.329,0.495,1332
afs-cold,tree_walk_dirs,5,23.337,22.629,23.531,0.370,636
afs-cold,ls_recursive,5,62.252,61.733,64.362,1.073,ok
afs-cold,du,5,18.862,18.715,19.001,0.123,52M
afs-cold,grep_text,5,47.941,44.101,37961.091,16953.943,176
afs-cold,glob_md,5,20.990,20.762,21.659,0.386,359
afs-cold,random_stat,5,3.545,3.462,3.789,0.125,100
afs-cold,random_read,5,8.370,6.618,12183.149,5444.535,100f/3968494b
afs-cold,head_of_tree,5,8.064,7.699,40.122,14.360,3
afs-cold,write_new_small,5,27378.122,20754.492,30040.632,3532.165,50
afs-cold,write_overwrite,5,5245.739,5141.161,5708.323,224.693,50
afs-cold,append_jsonl,5,5371.320,5226.103,6017.948,341.782,100
afs-cold,_cleanup,5,50.632,17.981,9552.665,4246.316,ok
