label,op,rounds,median_ms,min_ms,max_ms,stddev_ms,result
afs-cold,_harness_noop,5,2.894,2.306,3.180,0.373,
afs-cold,stat_root,5,6.630,6.366,7.038,0.308,ok
afs-cold,readdir_root,5,3.783,3.701,4.406,0.289,28
afs-cold,tree_walk,5,26.169,26.001,26.929,0.362,1332
afs-cold,tree_walk_dirs,5,23.599,23.251,24.150,0.367,636
afs-cold,ls_recursive,5,56.316,55.436,460.930,179.400,ok
afs-cold,du,5,16.615,16.271,17.570,0.512,51M
afs-cold,grep_text,5,42.254,40.025,38304.481,17109.759,176
afs-cold,glob_md,5,24.118,22.545,24.367,0.735,359
afs-cold,random_stat,5,365.777,356.062,393.560,14.675,100
afs-cold,random_read,5,308.247,297.239,12195.259,5317.171,100f/3972590b
afs-cold,head_of_tree,5,9.734,9.440,54.099,19.890,3
