label,op,rounds,median_ms,min_ms,max_ms,stddev_ms,result
afs-warm,_harness_noop,5,1.911,1.696,1.918,0.101,
afs-warm,stat_root,5,6.144,5.637,6.429,0.303,ok
afs-warm,readdir_root,5,3.899,3.559,4.356,0.294,28
afs-warm,tree_walk,5,25.879,25.302,26.450,0.413,1332
afs-warm,tree_walk_dirs,5,23.505,23.157,24.577,0.576,636
afs-warm,ls_recursive,5,54.973,54.365,55.669,0.495,ok
afs-warm,du,5,17.706,16.923,171.893,69.050,51M
afs-warm,grep_text,5,43.698,41.302,46.687,2.171,176
afs-warm,glob_md,5,23.373,23.105,24.320,0.547,359
afs-warm,random_stat,5,378.153,365.517,387.011,9.119,100
afs-warm,random_read,5,311.816,298.150,314.241,6.455,100f/3972590b
afs-warm,head_of_tree,5,8.327,8.030,10.855,1.181,3
