label,op,rounds,median_ms,min_ms,max_ms,stddev_ms,result
local,_harness_noop,5,2.054,1.736,2.158,0.172,
local,stat_root,5,6.145,5.735,6.258,0.240,ok
local,readdir_root,5,4.125,3.744,4.323,0.235,28
local,tree_walk,5,25.640,25.150,25.977,0.353,1332
local,tree_walk_dirs,5,24.671,24.359,24.876,0.187,636
local,ls_recursive,5,51.676,51.167,54.441,1.538,ok
local,du,5,14.622,13.973,14.983,0.473,57M
local,grep_text,5,46.006,45.818,49.812,1.691,176
local,glob_md,5,25.891,24.839,29.859,2.022,359
local,random_stat,5,4.570,4.308,5.151,0.340,100
local,random_read,5,6.684,6.434,6.845,0.158,100f/3972590b
local,head_of_tree,5,9.172,9.012,9.600,0.222,3
